id,topic,source_id,instruction,input,output
TRAIN_001,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Giấy phép lái xe được quản lý bằng bao nhiêu điểm?,"Theo Luật Trật tự, an toàn giao thông đường bộ 2024, giấy phép lái xe được quản lý bằng 12 điểm."
TRAIN_002,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Bằng lái xe theo quy định mới có tổng cộng mấy điểm?,"Theo quy định về điểm của giấy phép lái xe, mỗi giấy phép lái xe có 12 điểm."
TRAIN_003,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Điểm giấy phép lái xe dùng để quản lý nội dung gì?,"Điểm giấy phép lái xe dùng để quản lý việc chấp hành pháp luật về trật tự, an toàn giao thông đường bộ của người lái xe."
TRAIN_004,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Dữ liệu điểm giấy phép lái xe được quản lý ở đâu?,"Dữ liệu điểm giấy phép lái xe được quản lý trên hệ thống cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ."
TRAIN_005,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Số điểm trừ khi vi phạm giao thông phụ thuộc vào yếu tố nào?,"Số điểm trừ mỗi lần vi phạm phụ thuộc vào tính chất và mức độ của hành vi vi phạm pháp luật về trật tự, an toàn giao thông đường bộ."
TRAIN_006,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Khi nào điểm trừ giấy phép lái xe được cập nhật?,Điểm trừ giấy phép lái xe được cập nhật vào hệ thống cơ sở dữ liệu ngay sau khi quyết định xử phạt có hiệu lực thi hành.
TRAIN_007,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ điểm giấy phép lái xe có được thông báo không?,Có. Người bị trừ điểm giấy phép lái xe được thông báo sau khi dữ liệu điểm trừ được cập nhật theo quy định.
TRAIN_008,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Giấy phép lái xe chưa bị trừ hết điểm thì khi nào được phục hồi đủ điểm?,Nếu giấy phép lái xe chưa bị trừ hết điểm và không bị trừ điểm trong 12 tháng từ ngày bị trừ điểm gần nhất thì được phục hồi đủ 12 điểm.
TRAIN_009,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Nếu trong 12 tháng không bị trừ điểm thêm thì giấy phép lái xe được xử lý thế nào?,"Nếu chưa bị trừ hết điểm và không bị trừ điểm trong 12 tháng từ ngày bị trừ điểm gần nhất, giấy phép lái xe được phục hồi đủ 12 điểm."
TRAIN_010,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Bị trừ hết điểm giấy phép lái xe thì có được lái xe tiếp không?,"Không. Khi giấy phép lái xe bị trừ hết điểm, người có giấy phép lái xe không được điều khiển phương tiện theo giấy phép lái xe đó."
TRAIN_011,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ hết điểm cần chờ bao lâu để kiểm tra phục hồi điểm?,"Người bị trừ hết điểm cần chờ ít nhất 06 tháng kể từ ngày bị trừ hết điểm để được tham gia kiểm tra kiến thức pháp luật về trật tự, an toàn giao thông đường bộ."
TRAIN_012,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Điều kiện để được phục hồi điểm sau khi bị trừ hết điểm là gì?,"Sau thời hạn ít nhất 06 tháng, người bị trừ hết điểm phải tham gia kiểm tra kiến thức pháp luật về trật tự, an toàn giao thông đường bộ và có kết quả đạt yêu cầu để được phục hồi đủ 12 điểm."
TRAIN_013,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Đổi giấy phép lái xe thì số điểm cũ có bị mất không?,"Không. Giấy phép lái xe sau khi đổi, cấp lại hoặc nâng hạng được giữ nguyên số điểm của giấy phép lái xe trước đó."
TRAIN_014,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Ai có thẩm quyền trừ điểm giấy phép lái xe?,Người có thẩm quyền xử phạt vi phạm hành chính có thẩm quyền trừ điểm giấy phép lái xe.
TRAIN_015,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Chính phủ quy định chi tiết nội dung nào về điểm giấy phép lái xe?,"Chính phủ quy định chi tiết về điểm trừ, trình tự, thủ tục, thẩm quyền trừ điểm, phục hồi điểm giấy phép lái xe và lộ trình thực hiện."
